artist,year,song,album
"Dru Hill",1998,"How Deep is Your Love?",NULL
Association,1967,"Never My Love",NULL
"The Tremeloes",1968,"My Little Lady",NULL
"The Sweet",1973,"Hell Raiser",NULL
"Ricky Nelson",1958,"Poor Little Fool",NULL
"Bryan Adams & Melanie C",1998,"When You're Gone",NULL
"Wynonie Harris",1948,"Good Rockin' Tonight",NULL
"Harry James",1945,"I'm Beginning to See The Light",NULL
"Vicki Sue Robinson",1976,"Turn The Beat Around",NULL
"The Chi-Lites",1972,"Oh Girl",NULL
"Miami Sound Machine",1986,"Bad Boy",NULL
"Phil Phillips",1959,"Sea of Love",NULL
"Soul For Real",1995,"Candy Rain",NULL
"Bing Crosby & The Jesters",1946,"Sioux City Sue",NULL
"Morris Stoloff",1956,"Moonglow & Theme From Picnic",NULL
"Mark Dinning",1960,"Teen Angel",NULL
"The Silhouettes",1958,"Get a Job",NULL
Edelweiss,1989,"Bring Me Edelweiss",NULL
"Paul Anka",1958,"You Are My Destiny",NULL
"Fred Astaire",1938,"Change Partners",NULL
"The Detroit Spinners",1973,"Could it Be I'm Falling in Love",NULL
"Margaret Whiting",1949,"Far Away Places",NULL
"Kevin Rudolf & Lil' Wayne",2009,"Let it Rock",NULL
"The Zombies",1964,"She's Not There",NULL
"Guy Mitchell",1952,"There's Always Room At Our House",NULL
"Herman's Hermits",1965,"I'm Henry the Eighth I Am",NULL
"Wayne Newton",1972,"Daddy Don't You Walk So Fast",NULL
"Marion Harris",1919,"After You've Gone",NULL
"Nora Bayes",1917,"Over There",NULL
Leadbelly,1936,"Goodnight, Irene",NULL
"Herman's Hermits",1967,"There's a Kind of Hush",NULL
"Dee Dee Sharp",1962,"Mashed Potato Time",NULL
"Louis Prima",1958,"Buona Sera",NULL
"Doris Day",1954,"If I Give My Heart to You",NULL
"Jessica Simpson",2000,"I Wanna Love You Forever",NULL
"Joe South",1969,"Games People Play",NULL
"Brook Benton",1970,"Rainy Night in Georgia",NULL
"Ted Lewis & his Orchestra",1931,"Just a Gigolo",NULL
"Martha & The Vandellas",1963,"Heat Wave",NULL
"The O'Jays",1972,"Back Stabbers",NULL
Monica,1997,"For You I Will",NULL
"Brian Hyland",1970,"Gypsy Woman",NULL
"Julie Rogers",1964,"The Wedding",NULL
"Smash Mouth",1998,"Walkin' On the Sun",NULL
Mad'house,2002,"Like a Prayer",NULL
"20 Fingers",1995,"Short Dick Man",NULL
"Sir Douglas Quintet",1969,Mendocino,NULL
"Taylor Dayne",1993,"Can't Get Enough of Your Love",NULL
"Tommy Dorsey",1937,Marie,NULL
"Paul Whiteman",1930,"Body & Soul",NULL
"The Animals",1965,"We Gotta Get Out of This Place",NULL
"Fifth Dimension",1970,"One Less Bell To Answer",NULL
"Gym Class Heroes",2011,"Stereo Hearts",NULL
"Vera Lynn",1942,"(There'll Be Bluebirds Over) the White Cliffs of Dover",NULL
"Sam The Sham & The Pharaohs",1966,"Lil' Red Riding Hood",NULL
"Jody Watley",1989,"Real Love",NULL
"Will Glahe & his Orchestra",1939,"Beer Barrel Polka (Roll out the Barrel)",NULL
Youngbloods,1969,"Get Together",NULL
"Neil Sedaka",1962,"Happy Birthday Sweet Sixteen",NULL
"The Chordettes",1958,Lollipop,NULL
"The Buckinghams",1967,"Kind of a Drag",NULL
Wizzard,1973,"See My Baby Jive",NULL
"Gin Blossoms",1996,"Follow You Down",NULL
"Terry Stafford",1964,Suspicion,NULL
"Bobby Rydell",1960,"The Wild One",NULL
"The Coasters",1957,Searchin',NULL
Eruption,1979,"One Way Ticket",NULL
Black,1987,"Wonderful Life",NULL
"Inner Circle",1993,"Bad Boys",NULL
"Ray Parker Jr & Raydio",1981,"A Woman Needs Love (Just Like You Do)",NULL
"Mory Kante",1988,"Yeke Yeke",NULL
"Elmore James",1951,"Dust My Broom",NULL
"Pat Boone",1961,"Moody River",NULL
"Lou Christie",1966,"Lightnin' Strikes",NULL
Association,1967,Windy,NULL
Kelis,2004,"Trick Me",NULL
"Ike & Tina Turner",1966,"River Deep Mountain High",NULL
"Wilson Pickett",1966,"Land of 1000 Dances",NULL
"Jimmy Dorsey",1941,"Blue Champagne",NULL
"Candi Staton",1976,"Young Hearts Run Free",NULL
ATC,2000,"Around The World (La La La La La)",NULL
"Domenico Modugno",1959,"Piove (Ciao ciao bambina)",NULL
Oliver,1969,Jean,NULL
Mocedades,1974,"Eres Tu (Touch The Wind)",NULL
"Aphrodite's Child",1968,"Rain & Tears",NULL
"Hot Chocolate",1978,"Every 1's a Winner",NULL
"The Turtles",1967,"She'd Rather Be With Me",NULL
"The Chi-Lites",1971,"Have You Seen Her",NULL
"Seether & Amy Lee",2004,Broken,NULL
"Paul Anka",1960,"My Home Town",NULL
"Gerry & the Pacemakers",1963,"How Do You Do It?",NULL
DeBarge,1985,"Rhythm of the Night",NULL
"Teresa Brewer",1955,"Let Me Go Lover",NULL
"Johnny Rivers",1966,"Poor Side Of Town",NULL
"John Miles",1976,Music,NULL
"Fisk University Jubilee Quartet",1909,"Swing Low, Sweet Chariot",NULL
"Bobby Darin",1962,Multiplication,NULL
"Soul II Soul & Caron Wheeler",1989,"Keep On Moving",NULL
"Ma Rainey",1925,"See See Rider Blues",NULL
"Conway Twitty",1959,"Mona Lisa",NULL
"Waldo De Los Rios",1971,"Mozart Symphony No 40 in G Minor",NULL
"The Scaffold",1969,"Lily the Pink",NULL
Mya,2000,"Case Of The Ex (Whatcha Gonna Do)",NULL
"Pink & William Orbit",2003,"Feel Good Time",NULL
"Dante Thomas",2001,"Miss California",NULL
All-4-One,1995,"I Can Love You Like That",NULL
"Dan Hill",1978,"Sometimes When We Touch",NULL
"Dionne Warwick & The Detroit Spinners",1974,"Then Came You",NULL
"The Fortunes",1965,"You've Got Your Troubles",NULL
"Sutherland Brothers & Quiver",1976,"Arms of Mary",NULL
"Swinging Blue Jeans",1964,"Hippy Hippy Shake",NULL
"Bo Donaldson & the Heywoods",1974,"Billy, Don't Be a Hero",NULL
All-4-One,1994,"So Much in Love",NULL
"Gladys Knight & The Pips",1973,"Neither One of Us (Wants to be The First to Say Goodbye)",NULL
"John Lee Hooker",1948,"Boogie Chillun",NULL
Chantays,1963,Pipeline,NULL
"Bob Wills & his Texas Playboys",1940,"New San Antonio Rose",NULL
"1910 Fruitgum Co",1968,"1, 2, 3, Red Light",NULL
"Love & Rockets",1989,"So Alive",NULL
Double,1986,"The Captain of Her Heart",NULL
"Jimmy Nail",1992,"Ain't No Doubt",NULL
"The Sugababes",2001,Overload,NULL
"Marie Osmond",1973,"Paper Roses",NULL
"Eydie Gorme",1963,"Blame it On the Bossa Nova",NULL
"Billy Vera",1987,"At This Moment",NULL
Wreckx-N-Effect,1992,"Rump Shaker",NULL
"Jimmy Castor Bunch",1972,"Troglodyte (Cave Man)",NULL
"Dave Dee, Dozy, Beaky, Mick & Tich",1968,"Legend of Xanadu",NULL
"City High",2001,"What Would You Do?",NULL
"Perry Como",1958,"Magic Moments",NULL
"The Notorious BIG, P Diddy, Nelly, Jagged Edge & Avery Storm",2006,"Nasty Girl",NULL
"Helen Forrest & Dick Haymes",1944,Together,NULL
"Frankie Valli",1967,"Can't Take My Eyes Off You",NULL
Daughtry,2007,"It's Not Over",NULL
"Kay Kyser",1942,"Praise The Lord & Pass the Ammunition",NULL
"The Trammps",1978,"Disco Inferno",NULL
"Herman's Hermits",1964,"I'm Into Something Good",NULL
"Johnny Burnette",1960,"You're Sixteen, You're Beautiful (And You're Mine)",NULL
"Sean Kingston",2008,"Take You There",NULL
"Tony Orlando & Dawn",1973,"Say, Has Anybody Seen My Sweet Gypsy Rose?",NULL
"Tommy James & the Shondells",1969,"Crystal Blue Persuasion",NULL
"Eve Young",1950,"One Silver Dollar",NULL
"Daniel Bedingfield",2003,"If You're Not the One",NULL
"The Flying Pickets",1984,"Only You",NULL
"American Quartet",1917,"Over There",NULL
"Terror Squad",2004,"Lean Back",NULL
"Sam Cooke",1960,"Chain Gang",NULL
Avicii,2013,"Hey, Brother",NULL
"The Allisons",1961,"Are You Sure?",NULL
"Manhattan Transfer",1977,"Chanson D'Amour",NULL
"Celine Dion & Bee Gees",1998,Immortality,NULL
"Panjabi MC",2003,"Mundian to Bach Ke",NULL
Lordi,2006,"Hard Rock Hallelujah",NULL
"DJ Otzi",2001,"Hey Baby (Uuh, Aah)",NULL
"Paul Whiteman",1923,"Parade of the Wooden Soldiers",NULL
"Kenny Rogers & Sheena Easton",1983,"We've Got Tonight",NULL
"Three Dog Night",1974,"The Show Must Go On",NULL
"The Imperials",1958,"Tears On My Pillow",NULL
Sash!,1997,"Encore Une Fois",NULL
"Charlie Daniels Band",1979,"The Devil Went Down to Georgia",NULL
"Sugar Ray & Supercat",1997,Fly,NULL
Sugarloaf,1970,"Green-eyed Lady",NULL
"Holly Valance",2002,"Kiss Kiss",NULL
"Obernkirchen Children's Choir",1954,"Happy Wanderer",NULL
Faithless,1998,"God is a DJ",NULL
"Jackie Wilson",1967,"(Your Love Keeps Lifting Me) Higher & Higher",NULL
"Julian Lennon",1985,"Too Late For Goodbyes",NULL
"Dorothy Moore",1976,"Misty Blue",NULL
"Anne Shelton",1956,"Lay Down Your Arms",NULL
"The Detroit Spinners",1976,"The Rubberband Man",NULL
"Strawberry Alarm Clock",1967,"Incense & Peppermints",NULL
"Wayne Fontana & The Mindbenders",1965,"The Game of Love",NULL
"Eddie Murphy",1986,"Party All The Time",NULL
"Cliff Richard",1980,Dreamin',NULL
"Green Jelly",1993,"Three Little Pigs",NULL
"Eddie Cantor",1925,"If You Knew Susie (Like I Know Susie)",NULL
"Warren G & Adina Howard",1996,"What's Love Got to Do With It?",NULL
Breathe,1988,"Hands to Heaven",NULL
"Blue & Elton John",2003,"Sorry Seems to Be the Hardest Word",NULL
"Gerry & the Pacemakers",1963,"You'll Never Walk Alone",NULL
"Smash Mouth",2001,"I'm a Believer",NULL
Ottawan,1981,"Hands Up (Give Me Your Heart)",NULL
"Eddie Fisher",1956,"Cindy, Oh Cindy",NULL
"Alex Clare",2012,"Too Close",NULL
"Metallica & Marianne Faithfull",1997,"The Memory Remains",NULL
"Tony Christie",1971,"I Did What I Did For Maria",NULL
"Brothers Johnson",1980,Stomp!,NULL
"Gerry & the Pacemakers",1963,"I Like It",NULL
"Eddy Duchin",1935,"Lovely to Look At",NULL
"S Club 7",1999,"Bring it All Back",NULL
"Nora Bayes",1921,"Make Believe",NULL
"Meghan Trainor",2014,"All About That Bass",NULL
"Link Wray",1958,Rumble,NULL
"Lester Flatt & Earl Scruggs",1950,"Foggy Mountain Breakdown",NULL
"Vikki Carr",1967,"It Must Be Him (Seul Sur Son Etoile)",NULL
Klymaxx,1986,"I Miss You",NULL
"Vanessa Williams",1995,"The Sweetest Days",NULL
"Stevie Wonder & The Jackson 5",1974,"You Haven't Done Nothin'",NULL
"Bobby Helms",1957,"My Special Angel",NULL
"Jane Child",1990,"Don't Wanna Fall in Love",NULL
"David Guetta & Nicki Minaj",2012,"Turn Me On",NULL
"Floyd Cramer",1960,"Last Date",NULL
"The Troggs",1968,"Love is All Around",NULL
"Blind Willie Johnson",1927,"Dark Was the Night, Cold Was the Ground",NULL
"Kay Kyser",1942,"Who Wouldn't Love You?",NULL
"MC Lyte",1997,"Cold Rock a Party",NULL
"Ernie K-Doe",1961,Mother-In-Law,NULL
"KC & The Sunshine Band",1983,"Give it Up",NULL
"Jesus Jones",1991,"Right Here, Right Now",NULL
Chords,1954,"Sh-Boom (Life Could Be a Dream)",NULL
"Michael McDonald",1986,"Sweet Freedom",NULL
"David Bowie & The Pat Metheny Group",1985,"This is Not America",NULL
"Lesley Gore",1964,"You Don't Own Me",NULL
"Dave Dee, Dozy, Beaky, Mick & Tich",1966,"Bend It",NULL
Mims,2007,"This Is Why I'm Hot",NULL
"Len Barry",1965,1/2/2003,NULL
"Ken Griffin",1948,"You Can't Be True, Dear",NULL
"Art Tatum",1939,"Tea For Two",NULL
Dion,1968,"Abraham, Martin & John",NULL
"Marvin Gaye & Tammi Terrell",1967,"Ain't No Mountain High Enough",NULL
"Debbie Reynolds & Carleton Carpenter",1951,"The Aba Daba Honeymoon",NULL
Alphaville,1984,"Sounds Like a Melody",NULL
"Guy Lombardo",1934,"Winter Wonderland",NULL
"Francoise Hardy",1962,"Tous les garcons & les filles",NULL
"Steve Lawrence",1963,"Go Away Little Girl",NULL
"Peter Andre",1996,"Mysterious Girl",NULL
"Johnny Gill",1990,"Rub You the Right Way",NULL
"Tight Fit",1982,"The Lion Sleeps Tonight",NULL
"98 Degrees",2000,"Give Me Just One Night",NULL
"The O'Jays",1974,"For The Love of Money",NULL
"Martha Tilton",1939,"And the Angels Sing",NULL
T-Pain,2007,"Mr Bartender",NULL
Shannon,1984,"Let the Music Play",NULL
"Ray Parker Jr",1982,"The Other Woman",NULL
"RB Greaves",1969,"Take a Letter Maria",NULL
"Jason Derulo",2010,"Ridin' solo",NULL
"Mikis Theodorakis",1965,"Zorba The Greek",NULL
"Debelah Morgan",2000,"Dance With Me",NULL
"Junior Senior",2003,"Move Your Feet",NULL
"The Vapors",1980,"Turning Japanese",NULL
"The Ting Tings",2008,"That's Not My Name",NULL
"Murray Head",1971,Superstar,NULL
"Shep Fields & his Rippling Rhythm Orchestra",1939,"South of the Border (Down Mexico Way)",NULL
Surface,1991,"The First Time",NULL
"Bobby Rydell",1960,"Swingin' School",NULL
"Shep Fields & his Rippling Rhythm Orchestra",1937,"That Old Feeling",NULL
"Teresa Brewer",1951,"Longing For You",NULL
"Anita O'Day",1951,"Tennessee Waltz",NULL
"Ciara & Ludacris",2005,Oh,NULL
"Sue Thompson",1962,Norman,NULL
"Del Shannon",1965,"Keep Searchin' (We'll Follow the Sun)",NULL
"Tony Martin",1954,"Stranger in Paradise",NULL
"Brothers Johnson",1977,"Strawberry Letter 23",NULL
"David Rose",1962,"The Stripper",NULL
"Nicki Minaj",2012,Starships,NULL
Archies,1970,"Jingle Jangle",NULL
4pm,1995,Sukiyaki,NULL
Teach-In,1975,Ding-A-Dong,NULL
Sailor,1976,"A Glass of Champagne",NULL
"Whistling Jack Smith",1967,"I Was Kaiser Bill's Batman",NULL
"Hoagy Carmichael",1951,"My Resistance is Low",NULL
"Roger Williams",1955,"Autumn Leaves (Les Feuilles Mortes)",NULL
"Boris Gardiner",1986,"I Want to Wake Up With You",NULL
"Bob Azzam",1960,Mustapha,NULL
"Billy Ward & The Dominoes",1951,"Sixty Minute Man",NULL
"Tony! Toni! Tone!",1993,"If I Had No Loot",NULL
"Peaches & Herb",1979,"Shake Your Groove Thing",NULL
"Los Lonely Boys",2004,Heaven,NULL
"Honey Cone",1971,"Want Ads",NULL
"Ides of March",1970,Vehicle,NULL
"Hot Chocolate",1974,Emma,NULL
"Gareth Gates",2003,"Anyone of Us (Stupid Mistake)",NULL
"Atomic Kitten",2001,"Eternal Flame",NULL
"Lale Andersen",1944,"Lied eines jungen Wachtposten (Lili Marlen)",NULL
"Bill Monroe",1947,"Blue Moon of Kentucky",NULL
"David Guetta & Chris Willis",2010,"Getting Over You",NULL
"Chauncy Olcott",1913,"When Irish Eyes Are Smiling",NULL
"Shep & the Limelites",1961,"Daddy's Home",NULL
"First Class",1974,"Beach Baby",NULL
"Karyn White",1991,Romantic,NULL
"Vaughn Monroe",1943,"When The Lights Go On Again (All Over The World)",NULL
"The Carter Family",1935,"Can the Circle be Unbroken (Bye & Bye)",NULL
"Duke Ellington",1931,"Mood Indigo",NULL
"The Staple Singers",1971,"Respect Yourself",NULL
"Of Monsters And Men",2012,"Little Talks",NULL
"Miriam Makeba",1967,"Pata Pata",NULL
"Dinah Shore",1945,"Along the Navajo Trail",NULL
"SOS Band",1980,"Take Your Time (Do it Right)",NULL
"Pat Boone",1961,"Johnny Will",NULL
"Merry Macs",1944,"Mairzy Doates",NULL
"Jay Sean",2010,"Do You Remember?",NULL
Redbone,1971,"Witch Queen of New Orleans",NULL
3OH!3,2009,"Don't Trust Me",NULL
"Al Jolson",1918,"Rock-A-Bye Your Baby (With a Dixie Melody)",NULL
"The Bay City Rollers",1976,"Money Honey",NULL
"Chairman of The Board",1970,"Give Me Just a Little More Time",NULL
Alizee,2001,"Moi... Lolita",NULL
"Al Green",1972,"I'm Still in Love With You",NULL
"Christina Perri",2011,"Jar Of Hearts",NULL
"Nick Cave & The Bad Seeds & Kylie Minogue",1995,"Where the Wild Roses Grow",NULL
"Mel & Kim",1986,"Showing Out (Get Fresh At the Weekend)",NULL
"Adina Howard",1995,"Freak Like Me",NULL
"Atlantic Starr",1986,"Secret Lovers",NULL
"Joe Tex",1972,"I Gotcha",NULL
Redbone,1974,"Come & Get Your Love",NULL
"3OH!3 & Ke$ha",2010,"Blah, Blah, Blah",NULL
"Mariah Carey & Westlife",2000,"Against All Odds (Take a Look At Me Now)",NULL
"Dick Haymes",1945,"It Might as Well Be Spring",NULL
"Mason Williams",1968,"Classical Gas",NULL
"Steve Perry",1984,"Oh Sherrie",NULL
"Perry Como",1946,"They Say It's Wonderful",NULL
"Joe Thomas",2000,"I Wanna Know",NULL
"Ted Lewis & his Orchestra",1920,"When My Baby Smiles At Me",NULL
"The Marbles",1969,"Only One Woman",NULL
"Jessica Simpson",2001,Irresistible,NULL
Frankee,2004,"FURB (F U Right Back)",NULL
"Fess Parker",1955,"Ballad of Davy Crockett",NULL
"Mac Davis",1972,"Baby Don't Get Hooked On Me",NULL
"Bobby Vinton",1964,"Mr Lonely",NULL
Essex,1963,"Easier Said Than Done",NULL
"The Whispers",1980,"And the Beat Goes On",NULL
"Ohio Express",1968,"Chewy Chewy",NULL
"Dr Dre & Snoop Dogg",1993,"Nuthin' But a 'G' Thang",NULL
Jade,1993,"Don't Walk Away",NULL
"Brothers Johnson",1976,"I'll Be Good to You",NULL
"DJ BoBo",2003,Chihuahua,NULL
Flo-Rida,2012,"I Cry",NULL
"George Olsen",1926,Always,NULL
"Paul Revere & the Raiders",1971,"Indian Reservation (The Lament Of The Cherokee Reservation Indian)",NULL
"Travie McCoy & Bruno Mars",2010,Billionaire,NULL
"Todd Rundgren",1972,"I Saw the Light",NULL
"Van & Schenck",1921,"Ain't We Got Fun?",NULL
"Duke Ellington",1930,"Three Little Words",NULL
"Tracey Ullman",1983,"They Don't Know",NULL
"Eumir Deodato",1973,"Also Sprach Zarathustra (2001)",NULL
"Bix Beiderbecke",1927,"In a Mist",NULL
"Paper Lace",1974,"Billy, Don't Be a Hero",NULL
"Connie Francis",1959,"Lipstick On Your Collar",NULL
"David Guetta & Sia",2012,Titanium,NULL
"The Mixtures",1971,"The Pushbike Song",NULL
"Edward Bear",1973,"The Last Song",NULL
Raydio,1978,"Jack & Jill",NULL
"Elvin Bishop",1976,"Fooled Around & Fell in Love",NULL
"The Stylistics",1975,"I Can't Give You Anything (But My Love)",NULL
"Jackie Wilson",1958,"Lonely Teardrops",NULL
"Al Jolson",1928,"My Mammy",NULL
Sylvers,1977,"Hot Line",NULL
"Matthews Southern Comfort",1971,Woodstock,NULL
"Helen Forrest & Dick Haymes",1945,"I'll Buy That Dream",NULL
"Finger Eleven",2007,Paralyzer,NULL
"Freddy Quinn",1962,"Junge komm bald wieder",NULL
"Blind Lemon Jefferson",1927,"Matchbox Blues",NULL
"Truth Hurts",2002,Addictive,NULL
"Archie Bell & The Drells",1968,"Tighten Up",NULL
"Neil Sedaka",1975,"Bad Blood",NULL
"Johnny Horton",1960,"North to Alaska",NULL
"Sheena Easton",1989,"The Lover in Me",NULL
"The Sweet",1971,"Funny Funny",NULL
"Four Aces",1955,"Melody of Love",NULL
"Real Life",1984,"Send Me an Angel",NULL
September,2008,"Cry For You",NULL
"Rick James",1981,"Super Freak",NULL
"Captain & Tennille",1976,"Lonely Night (Angel Face)",NULL
"Mark Ronson & Amy Winehouse",2007,Valerie,NULL
"Spencer Davis Group",1967,"I'm a Man",NULL
"Neil Sedaka",1961,"Calendar Girl",NULL
"Boy Meets Girl",1988,"Waiting For a Star to Fall",NULL
"Blu Cantrell",2001,"Hit 'Em Up Style (Oops!)",NULL
"DHT & Edmee",2005,"Listen to Your Heart",NULL
SWV,1993,"Right Here (Human Nature)",NULL
"Ohio Players",1976,"Love Rollercoaster",NULL
"Gary Glitter",1973,"I Love You Love Me Love",NULL
"Clint Holmes",1973,"Playground In My Mind",NULL
"Stacey Q",1986,"Two Of Hearts",NULL
"Mouth & MacNeal",1972,Hello-A,NULL
"Petula Clark",1963,"Chariot (I will follow him)",NULL
"Robert Palmer & UB40",1990,"I'll Be Your Baby Tonight",NULL
"Bobby Bloom",1970,"Montego Bay",NULL
Jeanette,1977,"Porque te vas",NULL
"The Everly Brothers",1962,"Crying in the Rain",NULL
"The Walker Brothers",1966,"The Sun Ain't Gonna Shine (Anymore)",NULL
"Jimmy Ruffin",1966,"What Becomes of the Broken Hearted",NULL
"Sly Fox",1986,"Let's Go All the Way",NULL
"Herman's Hermits",1965,"A Must to Avoid",NULL
Rozalla,1991,"Everybody's Free (To Feel Good)",NULL
"Tommy Page",1990,"I'll Be Your Everything",NULL
"Ultra Nate",1997,Free,NULL
"Salvatore Adamo",1967,"Inch'Allah (se Sio vuole)",NULL
"Esther & Abi Ofarim",1968,"Cinderella Rockefella",NULL
"Al Green",1971,"Tired of Being Alone",NULL
"Kay Kyser",1939,"Three Little Fishies",NULL
"The Detroit Spinners",1972,"I'll Be Around",NULL
"Macklemore & Ryan Lewis",2013,"Same Love",NULL
"Vaughn Monroe",1942,"My Devotion",NULL
"PM Dawn",1992,"I'd Die Without You",NULL
"Jann Arden",1996,Insensitive,NULL
"Gavin Degraw",2005,"I Don't Want to Be",NULL
"Sonny James",1956,"Young Love",NULL
"Kenny Loggins",1986,"Danger Zone",NULL
"Jack McVea & his Band",1947,"Open The Door, Richard!",NULL
"Lorne Greene",1964,Ringo,NULL
"Baz Luhrmann",1999,"Everybody's Free (To Wear Sunscreen)",NULL
"Bobby Day",1958,"Rockin' Robin",NULL
"Jimmy Boyd & Frankie Laine",1953,"Tell Me a Story",NULL
"Sam Smith",2014,"Stay With Me",NULL
"Hot Chocolate",1977,"So You Win Again",NULL
"Nik Kershaw",1984,"Wouldn't it Be Good",NULL
"Al Jolson",1947,"Anniversary Song",NULL
"Irish Rovers",1968,"The Unicorn",NULL
"Blue Cheer",1968,"Summertime Blues",NULL
"Billie Myers",1998,"Kiss the Rain",NULL
"Jermaine Jackson & Pia Zadora",1984,"When The Rain Begins To Fall",NULL
"Julius Larosa",1953,"Eh, cumpari",NULL
"Dinah Shore",1951,"Sweet Violets",NULL
"Shawn Mullins",1999,Lullaby,NULL
"Russ Conway",1959,Roulette,NULL
"Shawn Colvin",1997,"Sunny Came Home",NULL
"Jay & the Americans",1964,"Come a Little Bit Closer",NULL
"Bill Justis",1957,Raunchy,NULL
"Sophie B Hawkins",1995,"As I Lay Me Down",NULL
"McFadden & Whitehead",1979,"Ain't No Stoppin' Us Now",NULL
"The O'Jays",1978,"Use Ta Be My Girl",NULL
Argent,1972,"Hold Your Head Up",NULL
"The Ames Brothers",1950,"Sentimental Me",NULL
"Shirley Temple",1935,"On The Good Ship Lollipop",NULL
"Information Society",1988,"What's On Your Mind (Pure Energy)",NULL
"Chuck Berry",1957,"School Day (Ring! Ring! Goes The Bell)",NULL
"Marti Webb",1980,"Take That Look Off Your Face",NULL
"Quad City DJs",1996,"C'Mon Ride the Train",NULL
Ottawan,1980,DISCO,NULL
"Soulja Boy",2009,"Kiss Me Thru The Phone",NULL
"The Sandpipers",1966,Guantanamera,NULL
"Eddie Fisher",1952,"Outside of Heaven",NULL
Arcadia,1985,"Election Day",NULL
"Vaughn Monroe",1949,"Someday (You'll Want Me to Want You)",NULL
"Renee & Renato",1983,"Save Your Love",NULL
"Andy Kim",1969,"Baby, I Love You",NULL
Sabrina,1987,"Boys (Summertime Love)",NULL
"Don Costa",1960,"Never On Sunday",NULL
Cappella,1994,"Move On Baby",NULL
"Hank Locklin",1960,"Please Help Me, I'm Falling",NULL
"Marion Harris",1925,"Tea For Two",NULL
"Lonnie Donegan",1960,"My Old Man's a Dustman (Ballad of a Refuse Disposal Officer)",NULL
"Leila K & Rob 'n' Raz",1990,"Got to Get",NULL
Babyface,1997,"Everytime I Close My Eyes",NULL
"Bobby Sherman",1969,"Little Woman",NULL
"Jimmie Rodgers",1957,Honeycomb,NULL
"Cliff Richard",1973,"Power to All Our Friends",NULL
"Aaron Neville",1966,"Tell it Like it Is",NULL
"Groove Theory",1995,"Tell Me",NULL
"P Diddy & Nicole Scherzinger",2006,"Come to Me",NULL
"Bing Crosby & The Mills Brothers",1932,Dinah,NULL
"The Script",2009,Breakeven,NULL
"Cilla Black",1964,"You're My World",NULL
"Grass Roots",1967,"Let's Live For Today",NULL
"Gary Glitter",1973,"I'm the Leader of the Gang (I Am)",NULL
"Zucchero Fornaciari & Paul Young",1991,"Senza Una Donna (Without a Woman)",NULL
702,1999,"Where My Girls At?",NULL
"Les Brown",1949,"I've Got My Love to Keep Me Warm",NULL
"Shirley Bassey",1973,"Never Never Never",NULL
"Johnny Logan",1987,"Hold Me Now",NULL
"Kelly Marie",1980,"Feels Like I'm in Love",NULL
Bananarama,1983,"Cruel Summer",NULL
"Smokey Robinson",1980,Cruisin',NULL
"The Real Thing",1976,"You to Me Are Everything",NULL
"Johnnie Ray",1957,"Yes Tonight Josephine",NULL
"The Del Vikings",1957,"Come Go With Me",NULL
"Dooley Wilson",1944,"As Time Goes By",NULL
"Mama Cass",1968,"Dream a Little Dream of Me",NULL
"4 The Cause",1998,"Stand By Me",NULL
"Charley Patton",1929,"Pony Blues",NULL
"Vera Lynn",1952,"Homing Waltz",NULL
"Pitbull & Ke$ha",2013,Timber,NULL
"Los Machucambos",1961,Pepito,NULL
"Snoop Dogg & Wiz Khalifa & Bruno Mars",2012,"Young Wild Free",NULL
"Eddie Cochran",1958,"C'Mon Everybody",NULL
"Perry Como",1953,"No Other Love",NULL
"T-Bone Walker Quintet",1947,"Stormy Monday",NULL
"Dion & The Belmonts",1960,"Where Or When",NULL
ATB,1998,"9pm (Till I Come)",NULL
"Eminem, Dr Dre & 50 Cent",2009,"Crack A Bottle",NULL
Shamen,1992,"Ebeneezer Goode",NULL
Xscape,1993,"Just Kickin' It",NULL
"Tony Martin",1941,"The Last Time I Saw Paris",NULL
"Johnny Nash",1975,"Tears On My Pillow (I Can't Take It)",NULL
"Bing Crosby & Connee Boswell",1938,"Alexander's ragtime band",NULL
"Ralph Tresvant",1991,Sensitivity,NULL
"Jon & Vangelis",1982,"I'll Find My Way Home",NULL
"Grass Roots",1968,"Midnight Confessions",NULL
"Climie Fisher",1988,"Love Changes Everything",NULL
Pitbull,2009,"Hotel Room Service",NULL
"Jan Garber",1926,"Baby Face",NULL
"Cliff Edwards (Ukelele Ike)",1929,"Singin' in the Rain",NULL
"Laurie London",1958,"He's Got the Whole World in His Hands",NULL
Pipkins,1970,"Gimme Dat Ding",NULL
"La Belle Epoque",1977,"Black is Black",NULL
"Cliff Richard",1963,"It's All in the Game",NULL
"Keith Sweat & Athena Cage",1997,Nobody,NULL
"Chuck Berry",1964,"No Particular Place to Go",NULL
"Brenda Lee",1960,"I Want To Be Wanted (Per Tutta La Vita)",NULL
"Stacie Orrico",2003,"There's Gotta Be More to Life",NULL
"Blessid Union of Souls",1995,"I Believe",NULL
"Peter Cetera & Amy Grant",1986,"The Next Time I Fall",NULL
"Joe Public",1992,"Live & Learn",NULL
"Ben Selvin",1920,Dardanella,NULL
"Evelyn Knight & The Stardusters",1948,"Powder Your Face With Sunshine",NULL
"Hoagy Carmichael",1947,"Huggin' & Chalkin'",NULL
"Del Shannon",1961,"Hats Off to Larry",NULL
"Pat Boone",1955,"Ain't That a Shame",NULL
